ticker,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AAPL,67.9,96.0,89.3,65.9,37.7,12.7,49.4,12.0,70.8,40.9,11.1,7.5,23.2,59.5,6.3,29.4,36.1,2.0,22.3,17.1,17.0,13.9,53.4,13.6,19.8,35.2,75.0
ABBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.3,34.1,17.9,2.0,49.8,56.7,21.7,7.9,17.1,33.2,13.5,12.4,0.0
AMD,51.2,98.0,100.0,73.0,78.6,53.6,82.1,84.9,99.6,77.8,73.8,83.3,88.8,78.2,67.9,88.1,75.4,82.1,80.9,66.3,18.2,27.4,96.4,68.8,65.9,68.0,20.0
AMZN,94.4,100.0,86.1,58.3,76.2,60.3,82.1,30.3,83.4,42.5,28.6,32.9,30.4,4.4,63.1,7.5,21.0,1.2,23.1,28.2,13.8,20.2,89.2,50.0,6.0,26.0,0.0
BA,25.4,63.3,65.9,49.2,13.5,3.2,8.4,19.5,85.4,67.1,38.9,42.5,21.2,0.0,27.8,15.9,30.6,0.0,20.7,42.5,96.0,68.7,85.7,38.8,74.2,52.8,0.0
BAC,43.7,11.3,18.7,7.9,0.0,7.9,2.8,25.1,88.9,87.7,69.4,82.1,64.8,21.8,25.0,49.2,39.3,17.9,39.0,26.6,70.4,17.5,64.9,58.8,10.7,15.2,20.0
CAT,80.2,22.2,54.4,7.5,24.6,12.3,34.3,25.9,58.1,75.4,22.2,36.9,50.4,53.2,20.2,72.2,32.1,2.8,47.0,40.1,40.7,24.2,41.0,22.0,12.7,25.2,0.0
COP,26.2,38.3,41.7,12.7,0.0,15.1,31.5,16.3,58.1,62.3,24.6,29.4,10.0,2.0,23.0,76.2,68.7,33.1,24.3,64.7,93.7,31.7,24.3,31.6,48.8,66.8,50.0
CSCO,54.4,100.0,100.0,40.9,59.9,58.3,30.3,29.1,80.2,48.4,48.0,70.2,38.8,26.6,14.3,28.2,22.6,10.8,25.1,38.9,59.7,3.6,60.6,24.8,36.9,6.8,10.0
CVX,29.8,26.2,56.3,22.6,0.0,15.9,12.7,10.4,51.0,45.6,21.4,15.1,11.2,3.2,28.6,65.5,19.4,14.7,24.3,15.1,90.1,12.3,16.3,40.8,22.2,16.8,0.0
DIS,35.7,93.1,83.3,49.2,38.9,43.3,6.0,23.9,53.0,62.3,15.5,38.5,3.6,4.4,1.6,15.1,59.9,28.3,17.9,8.3,43.9,32.9,91.6,64.8,33.3,38.0,5.0
GE,25.8,73.8,95.2,38.9,8.3,20.2,29.9,14.7,88.9,80.6,40.1,42.5,11.6,4.0,23.8,27.4,12.7,76.9,89.6,75.0,83.4,48.4,70.9,13.6,10.3,10.0,25.0
GOOGL,0.0,0.0,0.0,0.0,10.6,9.9,36.3,7.2,91.3,37.3,46.0,47.2,29.2,0.8,28.6,20.2,12.3,0.0,29.1,9.9,18.2,0.0,80.9,29.6,14.7,23.6,0.0
GS,52.4,77.8,81.0,43.3,30.6,9.9,7.2,30.3,94.9,70.2,48.4,66.3,43.6,21.0,24.2,28.2,44.4,17.1,51.0,35.7,45.8,4.4,67.3,42.0,0.0,14.4,0.0
HD,69.4,83.5,74.2,50.0,18.3,28.6,36.7,51.4,90.9,54.4,29.0,30.2,4.4,2.0,4.8,0.4,16.3,0.0,29.1,11.5,15.4,4.0,68.9,29.6,11.1,40.4,20.0
INTC,41.3,96.8,97.2,60.3,60.7,32.5,67.3,32.3,82.6,45.2,36.5,37.3,40.8,19.8,9.1,48.0,24.6,15.1,29.1,21.4,43.9,37.3,91.6,64.4,85.7,90.0,50.0
JNJ,22.2,15.3,23.4,57.5,5.6,17.5,25.5,17.9,25.7,23.8,23.0,7.5,0.0,2.4,4.0,25.8,2.8,0.8,38.6,22.6,13.4,9.9,12.0,40.0,29.0,13.6,0.0
JPM,63.1,71.4,90.1,44.4,18.3,42.1,5.6,31.9,64.8,61.9,45.6,56.0,26.4,5.2,7.9,14.7,19.8,1.6,14.3,13.5,51.4,4.0,69.7,14.0,4.8,8.8,25.0
MCD,63.1,72.2,58.3,56.0,13.1,15.9,9.2,0.8,17.4,23.0,0.4,2.0,34.4,1.2,19.8,4.8,23.0,0.0,23.5,10.7,22.1,0.0,17.5,11.2,24.6,6.0,0.0
META,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4,39.3,13.5,5.6,13.1,0.0,53.4,28.6,22.1,16.3,98.0,31.6,11.5,29.2,35.0
MS,42.9,95.2,93.7,53.6,54.4,32.1,9.2,40.6,98.0,83.7,62.3,80.6,79.6,27.0,17.1,45.2,42.5,17.1,54.6,34.9,47.4,4.4,54.6,48.0,10.7,14.0,0.0
MSFT,84.1,84.3,92.9,55.6,19.0,29.0,24.7,29.1,79.1,50.4,46.4,39.7,31.6,19.4,3.6,26.6,14.7,0.0,8.4,2.8,12.6,2.4,69.7,14.4,7.9,26.8,35.0
NFLX,0.0,0.0,81.2,28.6,66.7,86.1,59.8,90.0,71.1,20.2,12.3,48.8,96.8,32.1,44.0,23.4,59.1,10.4,35.5,44.0,15.4,27.4,98.8,57.6,11.9,28.8,100.0
NKE,54.0,35.9,56.0,21.4,9.5,25.8,25.5,4.8,44.3,46.8,8.3,22.2,28.8,0.0,10.3,3.6,52.8,15.5,10.0,7.5,13.8,13.1,90.8,51.6,68.3,74.8,100.0
NVDA,63.1,45.2,89.7,81.0,73.8,63.5,39.0,29.9,99.2,81.7,76.6,87.3,72.4,18.7,25.0,38.9,11.1,17.1,32.7,66.7,8.3,19.4,94.4,24.0,17.9,31.2,0.0
PFE,14.3,44.4,82.5,48.4,53.2,50.4,31.1,42.2,89.7,40.1,37.3,26.6,2.4,4.0,17.9,19.4,30.6,5.2,2.0,26.2,30.0,18.7,47.4,92.4,51.6,44.0,0.0
SBUX,24.6,70.2,38.1,13.9,2.8,44.4,25.5,74.5,96.0,68.7,31.0,4.8,23.6,2.0,17.9,3.2,43.3,21.9,20.3,8.7,37.9,9.5,64.1,41.2,64.3,60.4,30.0
T,29.4,67.3,86.5,58.7,14.3,22.6,3.2,6.8,72.3,45.2,13.9,9.9,5.2,13.5,15.5,8.3,10.7,29.9,42.2,4.0,54.5,42.1,44.6,48.0,4.8,23.6,90.0
TMO,32.9,60.5,73.8,27.4,13.5,22.6,3.2,1.6,41.1,57.9,26.2,39.7,11.2,0.4,3.6,13.1,12.7,3.6,8.4,6.3,13.0,11.9,55.0,44.4,23.4,56.0,0.0
TSLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,73.8,48.8,22.2,37.7,47.6,70.6,20.3,53.4,69.4,20.6,41.3,81.7,85.6,79.0,68.0,50.0
UNH,12.3,14.9,17.1,19.0,6.7,0.0,47.8,27.1,92.5,70.6,34.5,29.0,22.4,10.3,6.0,9.1,9.9,0.0,7.6,45.2,10.7,4.4,8.4,42.8,27.0,74.0,20.0
VZ,46.4,42.7,89.3,59.1,11.9,75.0,9.2,5.6,75.5,33.3,28.6,4.0,3.2,10.7,15.9,21.4,12.7,49.8,15.9,2.0,15.8,28.6,50.2,61.6,15.5,19.6,70.0
WFC,19.8,38.3,25.8,14.7,0.0,0.8,0.0,22.7,60.1,87.3,50.0,62.7,8.0,2.4,0.8,13.5,51.2,17.5,48.6,41.7,88.9,29.8,58.2,41.6,10.7,14.8,35.0
WMT,66.3,57.3,41.7,35.3,44.8,61.1,37.5,25.9,18.2,43.3,12.3,17.9,3.6,6.0,7.1,57.9,8.7,11.6,31.5,1.2,4.0,14.7,29.1,5.6,0.0,9.2,0.0
XOM,15.9,41.9,39.3,21.0,0.0,17.5,4.0,12.4,46.6,51.2,42.1,19.8,2.0,5.6,17.5,67.5,13.9,47.0,22.7,44.4,96.0,24.2,12.0,29.6,14.7,32.4,0.0
^DJI,24.2,34.7,53.6,19.0,19.4,12.7,0.0,0.8,77.5,34.9,21.4,21.8,4.4,0.8,2.0,13.5,13.1,0.0,8.0,5.6,17.4,0.4,40.6,2.4,0.4,8.0,0.0
^GSPC,27.4,60.1,75.8,18.7,9.1,0.0,2.0,4.0,77.1,35.7,25.0,26.6,5.2,0.0,1.2,11.9,12.7,0.0,10.0,4.4,15.0,0.0,51.8,4.8,0.8,8.8,0.0
^IXIC,68.3,83.5,86.5,25.0,26.2,7.9,25.5,10.8,73.9,37.7,24.6,36.1,10.8,0.0,4.8,8.7,17.5,0.0,20.7,6.0,11.9,4.8,72.9,10.4,3.6,15.6,0.0
^RUT,40.1,34.7,50.8,17.5,13.1,3.6,11.6,25.1,62.5,50.8,28.6,24.6,6.8,0.0,8.3,22.6,19.4,1.2,21.9,13.1,28.9,8.7,71.3,39.6,7.5,22.0,0.0
