year,Bear,Bull,Crisis,High-volatility,Sideways
2000,1689,2906,2121,10,1842
2001,2848,1983,2236,0,1365
2002,3356,1335,2585,1,1445
2003,1748,3776,1668,0,1628
2004,1593,4296,742,0,2283
2005,1988,3547,568,0,2969
2006,1593,4431,705,0,2307
2007,1856,4083,447,0,2650
2008,4327,1361,2149,0,1271
2009,1723,2940,3181,0,1228
2010,2022,4201,1052,2,1925
2011,2246,3603,1290,0,2185
2012,1633,4384,1003,3,2382
2013,759,5931,576,0,2562
2014,1412,5121,296,0,2999
2015,2341,4020,461,0,3006
2016,2068,4422,702,0,2636
2017,1211,5760,231,0,2587
2018,2520,4299,458,0,2512
2019,1888,4700,802,0,2438
2020,1937,4710,1664,0,1556
2021,1330,5414,409,0,2675
2022,4247,2440,1559,0,1543
2023,2581,3874,1091,0,2204
2024,1846,5262,562,0,2158
2025,2053,4538,1025,0,2134
2026,124,429,49,0,178
