year,Bear,Bull,Crisis,High-volatility,Sideways,dominant_regime,total_days,Bear_pct,Bull_pct,Crisis_pct,High-volatility_pct,Sideways_pct
2000,1689,2906,2121,10,1842,Bull,8568,19.7,33.9,24.8,0.1,21.5
2001,2848,1983,2236,0,1365,Bear,8432,33.8,23.5,26.5,0.0,16.2
2002,3356,1335,2585,1,1445,Bear,8722,38.5,15.3,29.6,0.0,16.6
2003,1748,3776,1668,0,1628,Bull,8820,19.8,42.8,18.9,0.0,18.5
2004,1593,4296,742,0,2283,Bull,8914,17.9,48.2,8.3,0.0,25.6
2005,1988,3547,568,0,2969,Bull,9072,21.9,39.1,6.3,0.0,32.7
2006,1593,4431,705,0,2307,Bull,9036,17.6,49.0,7.8,0.0,25.5
2007,1856,4083,447,0,2650,Bull,9036,20.5,45.2,4.9,0.0,29.3
2008,4327,1361,2149,0,1271,Bear,9108,47.5,14.9,23.6,0.0,14.0
2009,1723,2940,3181,0,1228,Crisis,9072,19.0,32.4,35.1,0.0,13.5
2010,2022,4201,1052,2,1925,Bull,9202,22.0,45.7,11.4,0.0,20.9
2011,2246,3603,1290,0,2185,Bull,9324,24.1,38.6,13.8,0.0,23.4
2012,1633,4384,1003,3,2382,Bull,9405,17.4,46.6,10.7,0.0,25.3
2013,759,5931,576,0,2562,Bull,9828,7.7,60.3,5.9,0.0,26.1
2014,1412,5121,296,0,2999,Bull,9828,14.4,52.1,3.0,0.0,30.5
2015,2341,4020,461,0,3006,Bull,9828,23.8,40.9,4.7,0.0,30.6
2016,2068,4422,702,0,2636,Bull,9828,21.0,45.0,7.1,0.0,26.8
2017,1211,5760,231,0,2587,Bull,9789,12.4,58.8,2.4,0.0,26.4
2018,2520,4299,458,0,2512,Bull,9789,25.7,43.9,4.7,0.0,25.7
2019,1888,4700,802,0,2438,Bull,9828,19.2,47.8,8.2,0.0,24.8
2020,1937,4710,1664,0,1556,Bull,9867,19.6,47.7,16.9,0.0,15.8
2021,1330,5414,409,0,2675,Bull,9828,13.5,55.1,4.2,0.0,27.2
2022,4247,2440,1559,0,1543,Bear,9789,43.4,24.9,15.9,0.0,15.8
2023,2581,3874,1091,0,2204,Bull,9750,26.5,39.7,11.2,0.0,22.6
2024,1846,5262,562,0,2158,Bull,9828,18.8,53.5,5.7,0.0,22.0
2025,2053,4538,1025,0,2134,Bull,9750,21.1,46.5,10.5,0.0,21.9
2026,124,429,49,0,178,Bull,780,15.9,55.0,6.3,0.0,22.8
