ticker,year,annual_return_pct
AAPL,2000,-73.42
AAPL,2001,47.23
AAPL,2002,-38.5
AAPL,2003,44.39
AAPL,2004,202.63
AAPL,2005,127.18
AAPL,2006,13.5
AAPL,2007,136.37
AAPL,2008,-56.19
AAPL,2009,132.21
AAPL,2010,50.72
AAPL,2011,22.89
AAPL,2012,30.56
AAPL,2013,4.75
AAPL,2014,42.63
AAPL,2015,-2.08
AAPL,2016,12.38
AAPL,2017,48.04
AAPL,2018,-7.05
AAPL,2019,88.74
AAPL,2020,78.24
AAPL,2021,38.06
AAPL,2022,-28.2
AAPL,2023,54.8
AAPL,2024,35.56
AAPL,2025,11.99
AAPL,2026,-4.25
ABBV,2013,56.38
ABBV,2014,29.96
ABBV,2015,-7.14
ABBV,2016,12.9
ABBV,2017,60.61
ABBV,2018,-2.67
ABBV,2019,4.83
ABBV,2020,26.28
ABBV,2021,34.61
ABBV,2022,23.99
ABBV,2023,-0.71
ABBV,2024,15.25
ABBV,2025,31.79
ABBV,2026,-1.96
AMD,2000,-10.89
AMD,2001,10.33
AMD,2002,-60.59
AMD,2003,112.55
AMD,2004,48.18
AMD,2005,42.92
AMD,2006,-37.19
AMD,2007,-61.58
AMD,2008,-69.75
AMD,2009,306.72
AMD,2010,-15.67
AMD,2011,-36.25
AMD,2012,-56.2
AMD,2013,52.96
AMD,2014,-32.41
AMD,2015,7.49
AMD,2016,309.39
AMD,2017,-10.06
AMD,2018,68.12
AMD,2019,143.55
AMD,2020,86.78
AMD,2021,55.9
AMD,2022,-56.89
AMD,2023,130.26
AMD,2024,-12.84
AMD,2025,77.53
AMD,2026,5.93
AMZN,2000,-82.59
AMZN,2001,-22.02
AMZN,2002,72.35
AMZN,2003,168.88
AMZN,2004,-14.66
AMZN,2005,5.91
AMZN,2006,-17.07
AMZN,2007,139.38
AMZN,2008,-46.72
AMZN,2009,147.46
AMZN,2010,34.43
AMZN,2011,-6.04
AMZN,2012,40.13
AMZN,2013,54.98
AMZN,2014,-22.02
AMZN,2015,119.07
AMZN,2016,17.72
AMZN,2017,55.17
AMZN,2018,26.32
AMZN,2019,20.06
AMZN,2020,71.6
AMZN,2021,4.64
AMZN,2022,-50.71
AMZN,2023,77.04
AMZN,2024,46.33
AMZN,2025,4.81
AMZN,2026,5.65
BA,2000,66.23
BA,2001,-36.59
BA,2002,-11.85
BA,2003,27.01
BA,2004,25.33
BA,2005,40.08
BA,2006,28.03
BA,2007,-0.48
BA,2008,-49.58
BA,2009,24.27
BA,2010,19.07
BA,2011,13.17
BA,2012,3.98
BA,2013,80.62
BA,2014,-2.67
BA,2015,14.09
BA,2016,14.55
BA,2017,93.11
BA,2018,10.78
BA,2019,2.92
BA,2020,-35.4
BA,2021,-0.69
BA,2022,-8.36
BA,2023,33.4
BA,2024,-29.69
BA,2025,26.33
BA,2026,2.61
BAC,2000,-1.04
BAC,2001,40.03
BAC,2002,14.53
BAC,2003,18.27
BAC,2004,23.58
BAC,2005,3.57
BAC,2006,18.32
BAC,2007,-18.74
BAC,2008,-62.46
BAC,2009,5.61
BAC,2010,-14.72
BAC,2011,-60.63
BAC,2012,101.14
BAC,2013,29.81
BAC,2014,11.93
BAC,2015,-4.83
BAC,2016,36.62
BAC,2017,33.1
BAC,2018,-16.08
BAC,2019,44.32
BAC,2020,-12.67
BAC,2021,51.0
BAC,2022,-26.61
BAC,2023,3.61
BAC,2024,32.95
BAC,2025,27.06
BAC,2026,-4.92
CAT,2000,0.78
CAT,2001,16.1
CAT,2002,-8.71
CAT,2003,78.23
CAT,2004,20.27
CAT,2005,23.77
CAT,2006,7.8
CAT,2007,20.82
CAT,2008,-35.08
CAT,2009,26.86
CAT,2010,64.04
CAT,2011,-1.97
CAT,2012,-2.06
CAT,2013,-0.88
CAT,2014,4.56
CAT,2015,-23.27
CAT,2016,42.04
CAT,2017,72.71
CAT,2018,-17.27
CAT,2019,20.17
CAT,2020,24.56
CAT,2021,15.87
CAT,2022,18.45
CAT,2023,26.31
CAT,2024,25.92
CAT,2025,61.64
CAT,2026,10.11
COP,2000,29.13
COP,2001,8.22
COP,2002,-17.24
COP,2003,37.15
COP,2004,35.76
COP,2005,41.26
COP,2006,21.66
COP,2007,32.33
COP,2008,-39.51
COP,2009,-2.93
COP,2010,34.75
COP,2011,10.76
COP,2012,7.28
COP,2013,24.46
COP,2014,2.78
COP,2015,-28.86
COP,2016,9.69
COP,2017,10.91
COP,2018,14.73
COP,2019,4.9
COP,2020,-36.46
COP,2021,88.58
COP,2022,67.99
COP,2023,6.38
COP,2024,-13.3
COP,2025,-3.23
COP,2026,7.79
CSCO,2000,-29.21
CSCO,2001,-45.64
CSCO,2002,-31.88
CSCO,2003,77.64
CSCO,2004,-20.33
CSCO,2005,-11.39
CSCO,2006,56.62
CSCO,2007,-2.38
CSCO,2008,-38.58
CSCO,2009,41.16
CSCO,2010,-18.06
CSCO,2011,-10.76
CSCO,2012,7.95
CSCO,2013,12.77
CSCO,2014,29.49
CSCO,2015,0.69
CSCO,2016,17.49
CSCO,2017,29.89
CSCO,2018,14.89
CSCO,2019,14.82
CSCO,2020,-5.1
CSCO,2021,47.19
CSCO,2022,-22.2
CSCO,2023,8.61
CSCO,2024,21.02
CSCO,2025,33.7
CSCO,2026,3.0
CVX,2000,4.15
CVX,2001,7.37
CVX,2002,-22.98
CVX,2003,32.69
CVX,2004,26.27
CVX,2005,15.07
CVX,2006,28.47
CVX,2007,35.26
CVX,2008,-18.44
CVX,2009,4.46
CVX,2010,19.73
